Feature,F-Score,P-Value
Edge Count,505433.33462144964,9.810298032320066e-184
Largest CC Size,138295.88803897763,3.6367963608485483e-156
Node Count,66420.51451100505,1.4171833622453194e-140
Max Degree,59228.562095717054,3.8586797871901624e-138
Diameter,13208.417679182065,2.499616571046232e-106
Avg Shortest Path,4419.719641249337,2.4486028909039362e-83
Degree Std,3146.34211209997,2.732854396406657e-76
Connected Components,2019.10800647421,3.341722127143712e-67
Average Degree,256.65707729157157,4.011054399292692e-29
Degree Centrality,39.03437061751781,1.0790429010748815e-08
Clustering Coefficient,26.18672714809436,1.5439386959825313e-06
Largest CC Ratio,20.811673475936246,1.4688375807913769e-05
Graph Density,2.9515773229286935,0.0889518701486817
